Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature_0_to_7cm,Max of soil_moisture_0_to_7cm, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
2,50.916,-78.5042,0,26.4,0.566,0.566,18.37,C1,1,1.41,1.41,1.41,423,7.74
2,50.9128,-78.5069,1,26.4,0.566,0.566,18.37,C1,1,1.41,1.41,1.41,423,7.74
2,50.8092,-78.5828,2,26.2,0.566,0.566,16.56,C1,0.771,1.4,1.4,1.4,324,18.76
2,50.8619,-78.5165,3,26.4,0.566,0.566,17.51,C1,0.887,1.404,1.404,1.404,374,18.76
2,50.8375,-78.6033,4,26.2,0.566,0.566,17.13,C1,0.839,1.403,1.403,1.403,353,18.76
2,50.9041,-78.5472,5,26.5,0.565,0.565,17.97,C1,0.951,1.408,1.408,1.408,402,18.76
2,50.9007,-78.5497,6,26.5,0.565,0.565,17.97,C1,0.951,1.408,1.408,1.408,402,18.76
2,50.7993,-78.5686,7,26.2,0.566,0.566,16.52,C2,7.214,2.204,2.47396,4.32213,5354,18.76
2,50.8233,-78.5931,8,26.2,0.566,0.566,16.85,C2,7.329,2.228,2.53051,4.41494,5564,18.76
2,51.2422,-77.2994,9,25.5,0.599,0.599,15.68,C2,7.201,1.931,2.34548,4.00794,5067,18.76
2,50.9147,-78.5599,10,26.5,0.565,0.565,17.85,C2,7.926,2.313,2.31884,4.76614,5514,18.76
1,50.7704,-78.4393,11,26,0.564,0.564,16.91,C2,7.264,2.253,2.39028,4.372,5209,18.76
1,50.7672,-78.4414,12,26,0.564,0.564,16.71,C2,7.199,2.236,2.2405,4.31684,4839,18.76
2,51.2196,-78.5929,13,27.4,0.431,0.431,23.53,C2,10.454,2.909,3.2645,6.0316,10238,18.76
2,51.2315,-78.5505,14,27.4,0.431,0.431,24.21,C2,10.763,2.971,3.55474,6.11555,11478,18.76
2,51.2224,-78.5882,15,27.4,0.431,0.431,23.53,C2,10.454,2.909,3.36714,6.0316,10560,18.76
2,51.2341,-78.5456,16,27.4,0.431,0.431,24.21,C2,10.763,2.971,3.036,6.11555,9803,18.76
2,50.8275,-78.5893,17,26.2,0.566,0.566,16.85,C2,7.329,2.228,2.36021,4.41494,5189,18.76
2,51.3312,-78.3711,18,27.1,0.53,0.53,26.86,C3,4.011,2.668,2.668,6.13902,3210,18.76
2,50.7813,-78.4514,19,26,0.564,0.564,16.91,C2,7.264,2.253,2.638,4.372,5749,18.76
2,50.7834,-78.5043,20,26.1,0.557,0.557,16.4,C2,7.087,2.2,2.50454,4.28211,5325,18.76
2,50.7976,-78.5141,21,26.1,0.557,0.557,16.14,C2,6.965,2.174,2.54209,4.26884,5312,18.76
2,50.8236,-78.4816,22,26.1,0.557,0.557,17.12,C3,1.814,1.457,1.457,4.40019,793,18.76
2,50.8116,-78.5246,23,26.1,0.557,0.557,16.48,C2,7.014,2.203,2.58808,4.33545,5446,18.76
2,50.8095,-78.4713,24,26.1,0.557,0.557,17.08,D1,1.434,0.929,0.929,6.04537,400,18.76
1,50.7563,-78.4292,25,26,0.564,0.564,16.55,C1,0.759,1.397,1.397,1.397,318,18.76
2,50.8174,-78.2682,26,26,0.572,0.572,17.48,C1,0.922,1.403,1.403,1.403,388,18.76
1,50.7652,-78.3884,27,26,0.564,0.564,16.87,C1,0.805,1.399,1.399,1.399,338,18.76
1,50.7531,-78.4313,28,26,0.564,0.564,16.55,C1,0.759,1.397,1.397,1.397,318,18.76
1,50.7933,-78.4086,29,26,0.564,0.564,17.18,C1,0.823,1.4,1.4,1.4,346,18.76
2,51.2454,-78.5606,30,27.5,0.441,0.441,24.63,C1,1.67,1.426,1.45456,1.43582,729,18.76
2,51.3879,-77.9271,31,26.5,0.579,0.579,21.31,C1,1.401,1.414,1.414,1.414,594,18.76
2,51.3877,-77.9201,32,26.5,0.579,0.579,21.31,C1,1.401,1.414,1.414,1.414,594,18.76
2,50.8134,-78.579,33,26.2,0.566,0.566,16.84,C1,0.803,1.401,1.401,1.401,338,18.76
2,51.5827,-78.1731,34,27,0.545,0.545,22.02,O1a,0.007,0.35,0.35,0.35,1,18.76
2,51.5692,-78.1633,35,27,0.545,0.545,22.02,O1a,0.007,0.35,0.35,0.35,1,18.76
2,53.4038,-77.456,36,24.3,0.167,0.167,10.97,D1,0.95,0.677,0.677,7.8824,193,29.77
2,51.0757,-78.5799,37,27.1,0.469,0.469,20.45,M1_35,4.529,1.556,1.556,3.3803,2114,18.76
2,51.0727,-78.5826,38,27.1,0.469,0.469,20.18,M1_35,4.482,1.538,1.538,3.54241,2068,18.76
2,53.3959,-77.4457,39,24.2,0.174,0.174,11.06,M1_25,1.924,0.908,0.908,17.2669,524,29.77
2,50.8376,-78.492,40,26.1,0.557,0.557,17.46,M2_25,3.104,1.274,1.274,5.02946,1186,18.76
2,53.3914,-77.4472,41,24.2,0.174,0.174,11.06,M1_25,1.924,0.908,0.908,17.2669,524,29.77
1,53.0595,-77.7578,42,24.8,0.55,0.55,12.87,M1_25,2.132,1.08,1.08,9.40865,691,29.77
2,50.7936,-78.5182,43,26.1,0.557,0.557,16.14,C2,6.965,2.174,2.62187,4.26884,5478,18.76
2,51.1759,-77.2537,44,25.4,0.606,0.606,15.55,C2,7.034,1.945,2.31402,4.03479,4883,26.54
2,51.4606,-77.1562,45,25.2,0.588,0.588,15.16,D1,1.467,0.79,0.79,6.41067,348,26.54
2,51.5094,-77.1465,46,25.2,0.595,0.595,14.42,D1,1.372,0.767,0.767,6.37041,316,26.54
2,51.4999,-77.183,47,25.2,0.588,0.588,14.77,D1,1.412,0.781,0.781,6.53152,331,26.54
2,51.4641,-77.1634,48,25.2,0.588,0.588,15.16,D1,1.467,0.79,0.79,6.41067,348,26.54
2,51.4904,-77.1812,49,25.2,0.588,0.588,14.77,D1,1.412,0.781,0.781,6.53152,331,26.54
2,50.8357,-78.5493,50,26.2,0.566,0.566,16.97,D1,1.429,0.919,0.919,6.20767,394,18.76
2,50.8498,-78.5596,51,26.5,0.565,0.565,17.29,D1,1.46,0.927,0.927,6.27909,406,18.76
2,51.0396,-77.9962,52,26,0.56,0.56,19.27,D1,1.67,0.982,0.982,6.33359,492,18.76
2,51.2446,-77.3058,53,25.5,0.599,0.599,16.05,D1,1.528,0.824,0.824,6.36947,378,18.76
2,51.2335,-78.603,54,27.4,0.431,0.431,23.55,D1,1.924,1.128,1.128,6.57008,651,18.76
2,50.8256,-78.5352,55,26.1,0.557,0.557,16.97,D1,1.429,0.919,0.919,6.20767,394,18.76
2,50.8397,-78.5454,56,26.2,0.566,0.566,16.97,D1,1.429,0.919,0.919,6.20767,394,18.76
2,50.8057,-78.4755,57,26.1,0.557,0.557,17.08,D1,1.434,0.929,0.929,6.04537,400,18.76
2,50.8216,-78.5392,58,26.1,0.557,0.557,16.83,D1,1.434,0.914,0.914,6.20648,393,18.76
2,50.7954,-78.4614,59,26.1,0.557,0.557,17.08,D1,1.434,0.929,0.929,6.04537,400,18.76
2,51.4511,-77.1926,60,25.2,0.588,0.588,15.32,M1_25,2.953,1.071,1.071,9.70679,949,10.885
