Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature,Max of soil_moisture, fwi, fuel, ros, sfc, tfc, bfc, hfi,estarea
1,65.9733,-116.849,1000,19.8,20.6,0.169,28.63,D1,1.965,1.312,1.312,8.92191,773,5.87
1,65.9639,-116.843,1001,19.8,20.6,0.169,28.63,D1,1.965,1.312,1.312,8.92191,773,5.87
0,65.8186,-115.615,1002,18.5,18.9,0.204,27.36,D1,1.804,1.306,1.306,9.52173,707,5.87
1,64.4676,-115.256,1003,19.5,19.9,0.183,25.81,D1,1.74,1.27,1.27,8.78606,663,5.87
1,64.4555,-115.275,1004,19.5,19.9,0.183,26.29,D1,1.806,1.274,1.274,8.78482,690,5.87
1,65.9665,-116.818,1005,19.8,20.6,0.169,28.96,D2,1.994,1.315,1.315,8.88812,787,5.87
1,65.957,-116.812,1006,19.8,20.6,0.169,28.49,D2,1.96,1.31,1.31,8.95567,770,5.87
1,65.3714,-116.671,1007,20.2,21.6,0.147,25.98,D2,1.821,1.264,1.264,8.85395,691,5.87
1,65.362,-116.665,1008,20.2,21.6,0.147,25.98,D2,1.821,1.264,1.264,8.85395,691,5.87
1,65.1375,-116.149,1009,20,21.7,0.148,25.67,D2,1.771,1.253,1.253,8.9274,666,5.87
1,64.683,-116.061,1010,20.3,21.4,0.16,24.56,D2,1.725,1.226,1.226,8.80521,634,5.87
1,65.6462,-116.516,1011,19.1,20.5,0.162,26.82,D1,1.803,1.288,1.288,9.42383,697,5.87
0,65.7362,-115.617,1012,18.4,18.6,0.201,26.69,D1,1.755,1.296,1.296,9.5908,682,5.87
0,65.7387,-115.591,1013,18.4,18.6,0.201,27.11,D1,1.793,1.301,1.301,9.65444,700,5.87
0,65.729,-115.585,1014,18.4,18.6,0.201,27.11,D1,1.793,1.301,1.301,9.65444,700,5.87
0,65.1401,-116.124,1015,20,21.7,0.148,25.82,D1,1.757,1.255,1.255,8.90738,662,5.87
0,65.1426,-116.1,1016,20,21.7,0.148,25.82,D1,1.757,1.255,1.255,8.90738,662,5.87
0,65.1331,-116.094,1017,20,21.7,0.148,25.82,D1,1.757,1.255,1.255,8.90738,662,5.87
1,64.7586,-116.033,1018,20.2,20.4,0.169,24.82,D1,1.758,1.231,1.231,8.7904,649,5.87
1,64.7611,-116.009,1019,20.2,20.4,0.169,24.59,D1,1.721,1.229,1.229,8.80817,635,5.87
1,64.7636,-115.985,1020,20.2,20.4,0.169,24.59,D1,1.721,1.229,1.229,8.80817,635,5.87
1,64.7661,-115.961,1021,20.2,20.4,0.169,24.94,D1,1.772,1.234,1.234,8.77139,656,5.87
1,64.713,-116.184,1022,20.3,21.5,0.165,24.85,D1,1.732,1.23,1.23,8.76572,639,5.87
